

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,3:14:26 PM,3201.52,3629.60,0.08,0.02,0.05,0.03,
5/31/2018,3:14:27 PM,3445.25,3326.46,0.05,0.03,0.37,0.02,
5/31/2018,3:14:28 PM,3374.95,3183.69,0.04,0.03,0.06,0.02,
5/31/2018,3:14:29 PM,3625.29,3425.92,0.03,0.03,0.17,0.02,
5/31/2018,3:14:30 PM,3226.18,3592.79,0.04,0.03,0.06,0.02,
5/31/2018,3:14:31 PM,2962.23,3468.66,0.07,0.02,0.24,0.01,
5/31/2018,3:14:32 PM,3199.40,3600.95,0.06,0.03,0.10,0.03,
5/31/2018,3:14:33 PM,3528.38,3398.81,0.03,0.03,0.11,0.02,
5/31/2018,3:14:34 PM,3119.45,3353.51,0.08,0.02,0.08,0.02,
5/31/2018,3:14:35 PM,3507.62,3731.73,0.03,0.03,0.06,0.03,
5/31/2018,3:14:36 PM,3475.22,3456.33,0.04,0.02,0.14,0.02,
5/31/2018,3:14:37 PM,3168.35,3387.53,0.05,0.03,0.09,0.02,
5/31/2018,3:14:38 PM,3138.13,3865.38,0.07,0.02,0.04,0.02,
5/31/2018,3:14:39 PM,3106.39,3339.62,0.06,0.02,0.49,0.02,
5/31/2018,3:14:40 PM,3263.96,3374.77,0.05,0.02,0.09,0.02,
5/31/2018,3:14:41 PM,3679.06,3588.85,0.03,0.04,0.07,0.03,
5/31/2018,3:14:42 PM,3059.24,3181.66,0.06,0.02,0.05,0.02,
5/31/2018,3:14:43 PM,3076.07,3236.40,0.04,0.03,0.21,0.02,
5/31/2018,3:14:44 PM,3473.89,4144.95,0.05,0.02,0.02,0.04,
5/31/2018,3:14:45 PM,3334.42,3388.92,0.06,0.03,0.28,0.02,
5/31/2018,3:14:46 PM,3360.07,3340.87,0.06,0.03,0.36,0.02,
5/31/2018,3:14:47 PM,2892.07,3216.40,0.04,0.03,0.17,0.01,
5/31/2018,3:14:48 PM,3026.16,3317.07,0.06,0.02,0.11,0.02,
5/31/2018,3:14:49 PM,3232.55,3513.19,0.05,0.02,0.10,0.02,
5/31/2018,3:14:50 PM,3282.67,3974.05,0.04,0.02,0.03,0.03,
5/31/2018,3:14:51 PM,3402.31,3373.71,0.06,0.03,0.08,0.02,
5/31/2018,3:14:52 PM,3348.49,3434.99,0.06,0.03,0.05,0.03,
5/31/2018,3:14:53 PM,3491.69,3273.12,0.06,0.04,0.12,0.02,
5/31/2018,3:14:54 PM,3091.90,3560.39,0.09,0.02,0.11,0.02,
5/31/2018,3:14:55 PM,3182.49,3282.30,0.06,0.02,0.22,0.02,
5/31/2018,3:14:56 PM,3273.41,3233.31,0.07,0.03,0.15,0.02,
5/31/2018,3:14:57 PM,3359.98,3467.67,0.04,0.03,0.24,0.02,
5/31/2018,3:14:58 PM,3507.78,3228.85,0.04,0.04,0.09,0.01,
5/31/2018,3:14:59 PM,3372.44,3337.05,0.04,0.03,0.21,0.02,
5/31/2018,3:15:00 PM,3373.30,3561.10,0.04,0.03,0.06,0.02,
5/31/2018,3:15:01 PM,3243.05,3396.07,0.09,0.02,0.07,0.02,
5/31/2018,3:15:02 PM,3758.53,3408.96,0.02,0.06,0.15,0.03,
5/31/2018,3:15:03 PM,3379.75,3437.84,0.06,0.04,0.20,0.02,
5/31/2018,3:15:04 PM,3912.46,3692.48,0.02,0.04,0.05,0.03,
5/31/2018,3:15:05 PM,3302.36,3736.55,0.07,0.02,0.03,0.02,
5/31/2018,3:15:06 PM,3542.27,3515.26,0.03,0.04,0.08,0.02,
5/31/2018,3:15:07 PM,3306.12,3365.95,0.07,0.03,0.13,0.02,
5/31/2018,3:15:08 PM,3266.74,3321.39,0.06,0.03,0.08,0.02,
5/31/2018,3:15:09 PM,3240.43,3532.59,0.08,0.03,0.07,0.03,
5/31/2018,3:15:10 PM,3574.05,3458.21,0.03,0.05,0.06,0.02,
5/31/2018,3:15:11 PM,3509.62,3685.19,0.03,0.04,0.06,0.02,
5/31/2018,3:15:12 PM,3367.67,3615.71,0.05,0.03,0.08,0.03,
5/31/2018,3:15:13 PM,3197.05,3705.37,0.08,0.03,0.05,0.03,
5/31/2018,3:15:14 PM,3514.27,3937.65,0.03,0.04,0.03,0.02,
5/31/2018,3:15:15 PM,3485.38,3524.18,0.05,0.03,0.08,0.02,
5/31/2018,3:15:16 PM,3055.73,3453.39,0.09,0.02,0.07,0.03,
5/31/2018,3:15:17 PM,3223.05,3256.08,0.07,0.03,0.08,0.02,
5/31/2018,3:15:18 PM,3504.16,3979.24,0.03,0.03,0.03,0.04,
5/31/2018,3:15:19 PM,3214.88,3546.19,0.06,0.02,0.09,0.02,
5/31/2018,3:15:20 PM,3717.19,3269.16,0.02,0.04,0.12,0.01,
5/31/2018,3:15:21 PM,3297.12,3333.70,0.05,0.02,0.20,0.02,
5/31/2018,3:15:22 PM,3497.23,3424.49,0.04,0.04,0.13,0.02,
5/31/2018,3:15:23 PM,3337.61,3425.33,0.03,0.03,0.15,0.02,
5/31/2018,3:15:25 PM,3591.41,3363.30,0.03,0.03,0.15,0.02,
5/31/2018,3:15:26 PM,3566.60,3557.30,0.03,0.05,0.08,0.03,
5/31/2018,3:15:27 PM,3436.19,3393.16,0.03,0.03,0.15,0.02,
5/31/2018,3:15:28 PM,3724.84,3899.13,0.03,0.04,0.03,0.03,
5/31/2018,3:15:29 PM,3470.18,3440.64,0.04,0.03,0.15,0.02,
5/31/2018,3:15:30 PM,3279.16,3790.42,0.07,0.03,0.05,0.04,
5/31/2018,3:15:31 PM,3224.79,3535.50,0.06,0.02,0.06,0.03,
5/31/2018,3:15:32 PM,3490.46,3351.52,0.03,0.03,0.19,0.02,
5/31/2018,3:15:33 PM,3312.14,3464.10,0.09,0.02,0.08,0.02,
5/31/2018,3:15:34 PM,3427.62,3635.79,0.04,0.03,0.08,0.03,
5/31/2018,3:15:35 PM,3292.86,3679.24,0.06,0.03,0.07,0.03,
5/31/2018,3:15:36 PM,3276.18,4014.56,0.05,0.03,0.03,0.03,
5/31/2018,3:15:37 PM,3128.03,3516.09,0.07,0.02,0.13,0.02,
5/31/2018,3:15:38 PM,3411.84,3507.24,0.03,0.03,0.08,0.02,
5/31/2018,3:15:39 PM,3146.24,3350.21,0.09,0.02,0.12,0.02,
5/31/2018,3:15:40 PM,3251.69,3682.90,0.07,0.03,0.04,0.03,
5/31/2018,3:15:41 PM,3277.05,3514.04,0.05,0.02,0.12,0.02,
5/31/2018,3:15:42 PM,3638.88,3727.34,0.03,0.04,0.04,0.03,
5/31/2018,3:15:43 PM,3450.96,3913.90,0.04,0.03,0.03,0.04,
5/31/2018,3:15:44 PM,3371.41,3453.10,0.05,0.04,0.10,0.03,
5/31/2018,3:15:45 PM,3622.53,3217.78,0.03,0.04,0.09,0.01,
5/31/2018,3:15:46 PM,3457.35,3250.02,0.04,0.04,0.06,0.02,
5/31/2018,3:15:47 PM,3454.67,3553.79,0.03,0.03,0.07,0.03,
5/31/2018,3:15:48 PM,3404.13,3841.07,0.03,0.02,0.04,0.04,
5/31/2018,3:15:49 PM,3500.47,3315.00,0.03,0.05,0.10,0.02,
5/31/2018,3:15:50 PM,3281.17,3328.22,0.07,0.02,0.06,0.02,
5/31/2018,3:15:51 PM,3595.87,3549.71,0.03,0.04,0.09,0.02,
5/31/2018,3:15:52 PM,3374.27,3359.53,0.05,0.03,0.07,0.03,
5/31/2018,3:15:53 PM,3665.13,3555.71,0.02,0.03,0.09,0.03,
5/31/2018,3:15:54 PM,3530.63,3968.78,0.03,0.04,0.04,0.04,
5/31/2018,3:15:55 PM,3371.27,3447.36,0.06,0.04,0.11,0.02,
5/31/2018,3:15:56 PM,3343.92,3638.75,0.05,0.03,0.05,0.02,
5/31/2018,3:15:57 PM,3298.00,3697.26,0.06,0.03,0.05,0.02,
5/31/2018,3:15:58 PM,3287.05,3671.09,0.05,0.03,0.05,0.02,
5/31/2018,3:15:59 PM,3426.00,3354.69,0.03,0.03,0.09,0.01,
5/31/2018,3:16:00 PM,3453.09,3784.44,0.04,0.04,0.04,0.03,
5/31/2018,3:16:01 PM,3695.36,3735.87,0.03,0.03,0.05,0.03,
5/31/2018,3:16:02 PM,3646.72,3339.95,0.02,0.04,0.17,0.02,
5/31/2018,3:16:03 PM,3439.99,3472.35,0.04,0.04,0.09,0.02,
5/31/2018,3:16:04 PM,3147.07,3624.70,0.08,0.02,0.07,0.02,
5/31/2018,3:16:05 PM,3468.12,3412.25,0.04,0.03,0.12,0.02,
5/31/2018,3:16:06 PM,3594.68,3509.99,0.03,0.04,0.07,0.02,
5/31/2018,3:16:07 PM,3631.36,3740.20,0.03,0.03,0.06,0.03,
5/31/2018,3:16:08 PM,3197.00,3909.93,0.10,0.02,0.05,0.04,
5/31/2018,3:16:09 PM,3337.52,3743.27,0.06,0.04,0.06,0.02,
5/31/2018,3:16:10 PM,3015.94,3861.27,0.07,0.02,0.04,0.04,
5/31/2018,3:16:11 PM,3213.72,3354.63,0.06,0.02,0.10,0.02,
5/31/2018,3:16:12 PM,3261.28,3569.70,0.07,0.03,0.07,0.02,
5/31/2018,3:16:13 PM,3068.68,3709.56,0.07,0.02,0.05,0.02,
5/31/2018,3:16:14 PM,3433.07,3616.33,0.04,0.03,0.05,0.02,
5/31/2018,3:16:15 PM,3308.69,3449.50,0.05,0.03,0.32,0.02,
5/31/2018,3:16:16 PM,3432.96,3725.96,0.05,0.03,0.05,0.02,
5/31/2018,3:16:17 PM,3430.67,3637.70,0.05,0.03,0.08,0.03,
5/31/2018,3:16:18 PM,3269.13,3494.60,0.07,0.03,0.05,0.02,
5/31/2018,3:16:19 PM,3580.36,3414.46,0.04,0.04,0.10,0.03,
5/31/2018,3:16:20 PM,3699.58,3575.79,0.03,0.04,0.10,0.02,
5/31/2018,3:16:21 PM,3329.41,3414.57,0.05,0.02,0.22,0.02,
5/31/2018,3:16:22 PM,3420.50,3875.09,0.04,0.04,0.05,0.03,
5/31/2018,3:16:23 PM,3229.47,3768.58,0.07,0.03,0.04,0.04,
5/31/2018,3:16:24 PM,3430.97,3229.53,0.03,0.03,0.08,0.02,
5/31/2018,3:16:25 PM,3163.30,3290.92,0.05,0.03,0.15,0.02,
5/31/2018,3:16:26 PM,3691.61,3487.82,0.02,0.04,0.10,0.02,
5/31/2018,3:16:27 PM,3463.43,3643.94,0.04,0.04,0.11,0.02,
5/31/2018,3:16:28 PM,3024.34,3824.72,0.06,0.02,0.04,0.02,
5/31/2018,3:16:29 PM,3446.24,3342.42,0.04,0.03,0.11,0.02,
5/31/2018,3:16:30 PM,3536.31,3454.78,0.03,0.03,0.07,0.02,
5/31/2018,3:16:31 PM,3696.22,3351.96,0.02,0.03,0.17,0.02,
5/31/2018,3:16:32 PM,3092.14,3644.67,0.08,0.02,0.07,0.03,
5/31/2018,3:16:33 PM,3649.97,3493.96,0.03,0.03,0.08,0.02,
5/31/2018,3:16:34 PM,3160.97,3464.68,0.07,0.02,0.10,0.02,
5/31/2018,3:16:35 PM,3397.62,3369.38,0.03,0.03,0.08,0.02,
5/31/2018,3:16:36 PM,3489.04,3314.74,0.03,0.03,0.14,0.02,
5/31/2018,3:16:37 PM,3705.53,3581.68,0.03,0.04,0.06,0.02,
5/31/2018,3:16:38 PM,3442.22,3214.88,0.04,0.03,0.08,0.03,
5/31/2018,3:16:39 PM,3531.12,3597.21,0.04,0.05,0.09,0.03,
5/31/2018,3:16:40 PM,3436.90,3497.78,0.04,0.03,0.06,0.02,
5/31/2018,3:16:41 PM,3393.83,3305.44,0.03,0.03,0.05,0.02,
5/31/2018,3:16:42 PM,3276.41,3296.65,0.05,0.02,0.18,0.02,
5/31/2018,3:16:43 PM,3318.18,3648.70,0.07,0.03,0.06,0.03,
5/31/2018,3:16:44 PM,3235.26,3535.49,0.08,0.03,0.13,0.02,
5/31/2018,3:16:45 PM,3374.11,3354.16,0.04,0.02,0.27,0.02,
5/31/2018,3:16:46 PM,3683.49,3816.79,0.03,0.03,0.05,0.03,
5/31/2018,3:16:47 PM,3715.05,3530.14,0.03,0.04,0.10,0.02,
5/31/2018,3:16:48 PM,3337.39,3881.42,0.04,0.02,0.03,0.03,
5/31/2018,3:16:49 PM,3605.10,3317.57,0.03,0.03,0.15,0.02,
5/31/2018,3:16:50 PM,3604.03,3956.31,0.03,0.04,0.04,0.03,
5/31/2018,3:16:51 PM,3224.92,3587.55,0.07,0.02,0.07,0.03,
5/31/2018,3:16:52 PM,3533.58,3805.41,0.03,0.03,0.04,0.03,
5/31/2018,3:16:53 PM,3458.69,3841.06,0.03,0.04,0.04,0.03,
5/31/2018,3:16:54 PM,3383.38,3545.67,0.05,0.04,0.05,0.02,
5/31/2018,3:16:55 PM,3577.14,3855.57,0.04,0.03,0.04,0.03,
5/31/2018,3:16:56 PM,3134.48,3468.17,0.09,0.02,0.12,0.02,
5/31/2018,3:16:57 PM,3328.77,3666.94,0.06,0.03,0.04,0.03,
5/31/2018,3:16:58 PM,3091.56,3529.80,0.11,0.02,0.15,0.02,
5/31/2018,3:16:59 PM,3296.73,3409.09,0.07,0.03,0.08,0.02,
5/31/2018,3:17:00 PM,3094.88,3422.24,0.11,0.02,0.09,0.02,
5/31/2018,3:17:01 PM,3542.21,3492.06,0.03,0.03,0.11,0.02,
5/31/2018,3:17:02 PM,3189.66,3723.17,0.06,0.02,0.06,0.02,
5/31/2018,3:17:03 PM,3114.25,3403.53,0.05,0.03,0.16,0.03,
5/31/2018,3:17:04 PM,3247.68,3297.55,0.09,0.02,0.20,0.01,
5/31/2018,3:17:05 PM,3379.85,3295.38,0.07,0.03,0.08,0.02,
5/31/2018,3:17:06 PM,3222.97,3731.07,0.09,0.03,0.04,0.03,
5/31/2018,3:17:07 PM,3331.87,3707.24,0.05,0.03,0.04,0.03,
5/31/2018,3:17:08 PM,3664.25,3321.65,0.02,0.04,0.26,0.02,
5/31/2018,3:17:09 PM,3779.05,3609.89,0.02,0.04,0.05,0.03,
