

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,6:07:38 PM,3181.29,3452.10,4933.15,5094.43,0.01,0.02,0.02,0.02,
5/31/2018,6:07:39 PM,3154.52,3437.40,4929.17,5097.21,0.01,0.02,0.02,0.01,
5/31/2018,6:07:40 PM,3246.77,3455.90,4937.35,5105.82,0.01,0.02,0.02,0.02,
5/31/2018,6:07:41 PM,3227.04,3471.50,4939.95,5103.45,0.01,0.02,0.02,0.02,
5/31/2018,6:07:42 PM,3156.34,3496.80,4943.85,5097.41,0.01,0.02,0.01,0.02,
5/31/2018,6:07:43 PM,3250.73,3502.92,4946.21,5086.42,0.01,0.03,0.01,0.02,
5/31/2018,6:07:44 PM,3281.62,3520.51,4954.46,5088.64,0.01,0.03,0.01,0.02,
5/31/2018,6:07:45 PM,3230.19,3471.46,4957.44,5074.53,0.01,0.02,0.02,0.02,
5/31/2018,6:07:47 PM,3205.11,3450.35,4939.90,5080.69,0.01,0.02,0.03,0.02,
5/31/2018,6:07:48 PM,3271.62,3515.86,4951.65,5086.62,0.01,0.03,0.01,0.02,
5/31/2018,6:07:49 PM,3268.81,3553.66,4944.26,5077.37,0.01,0.02,0.01,0.02,
5/31/2018,6:07:50 PM,3150.65,3474.10,4952.45,5077.40,0.02,0.02,0.02,0.02,
5/31/2018,6:07:51 PM,3268.66,3491.51,4931.29,5094.89,0.01,0.02,0.02,0.02,
5/31/2018,6:07:52 PM,3283.38,3479.86,4945.95,5088.56,0.01,0.02,0.01,0.02,
5/31/2018,6:07:53 PM,3280.40,3534.20,4937.78,5103.00,0.01,0.02,0.01,0.02,
5/31/2018,6:07:55 PM,3176.40,3529.02,4922.15,5096.47,0.01,0.02,0.01,0.02,
5/31/2018,6:07:56 PM,3273.90,3460.91,4944.08,5096.85,0.01,0.02,0.01,0.02,
5/31/2018,6:07:57 PM,3260.41,3494.25,4928.93,5095.19,0.01,0.02,0.02,0.02,
5/31/2018,6:07:58 PM,3259.43,3524.15,4932.26,5095.93,0.01,0.02,0.01,0.02,
5/31/2018,6:07:59 PM,3270.84,3446.65,4929.43,5092.81,0.01,0.02,0.02,0.02,
5/31/2018,6:08:01 PM,3251.84,3490.38,4928.61,5069.05,0.01,0.03,0.02,0.02,
5/31/2018,6:08:02 PM,3174.99,3505.29,4937.71,5073.30,0.01,0.02,0.01,0.02,
5/31/2018,6:08:03 PM,3217.93,3516.74,4942.51,5080.04,0.01,0.02,0.01,0.02,
5/31/2018,6:08:04 PM,3190.42,3489.74,4943.57,5087.04,0.01,0.02,0.02,0.02,
5/31/2018,6:08:06 PM,3268.15,3491.44,4936.90,5094.48,0.01,0.02,0.02,0.02,
5/31/2018,6:08:07 PM,3332.55,3562.84,4944.32,5067.74,0.01,0.03,0.01,0.02,
5/31/2018,6:08:08 PM,3316.16,3534.72,4939.60,5100.69,0.01,0.02,0.01,0.02,
5/31/2018,6:08:09 PM,3172.39,3568.38,4948.83,5098.25,0.01,0.02,0.01,0.02,
5/31/2018,6:08:10 PM,3243.82,3454.96,4940.25,5103.32,0.01,0.02,0.03,0.02,
5/31/2018,6:08:11 PM,3313.08,3489.62,4951.49,5094.68,0.01,0.02,0.01,0.02,
5/31/2018,6:08:12 PM,3225.28,3381.85,4950.26,5090.85,0.01,0.02,0.02,0.02,
5/31/2018,6:08:14 PM,3282.57,3497.63,4935.36,5096.30,0.01,0.02,0.01,0.02,
5/31/2018,6:08:15 PM,3213.92,3525.62,4947.87,5099.14,0.01,0.02,0.01,0.02,
5/31/2018,6:08:16 PM,3308.05,3510.10,4933.13,5082.41,0.01,0.02,0.01,0.02,
5/31/2018,6:08:17 PM,3254.43,3394.21,4955.39,5094.68,0.01,0.03,0.04,0.02,
5/31/2018,6:08:18 PM,3282.49,3434.96,4951.64,5095.83,0.01,0.02,0.02,0.01,
5/31/2018,6:08:19 PM,3276.66,3510.70,4952.97,5110.22,0.01,0.03,0.01,0.02,
5/31/2018,6:08:20 PM,3174.35,3514.57,4942.28,5095.69,0.01,0.03,0.02,0.02,
5/31/2018,6:08:22 PM,3252.68,3451.68,4940.89,5086.62,0.01,0.02,0.02,0.02,
5/31/2018,6:08:23 PM,3283.63,3477.58,4935.81,5107.55,0.01,0.03,0.02,0.01,
5/31/2018,6:08:24 PM,3279.11,3539.58,4916.09,5086.73,0.01,0.02,0.01,0.02,
5/31/2018,6:08:25 PM,3293.90,3529.86,4952.29,5089.07,0.01,0.02,0.01,0.02,
5/31/2018,6:08:26 PM,3222.48,3578.82,4939.80,5093.49,0.01,0.02,0.01,0.02,
5/31/2018,6:08:27 PM,3182.58,3525.52,4943.21,5084.82,0.01,0.02,0.01,0.02,
5/31/2018,6:08:29 PM,3242.62,3491.20,4954.90,5094.44,0.01,0.02,0.02,0.02,
5/31/2018,6:08:30 PM,3152.41,3480.50,4935.72,5099.47,0.01,0.02,0.02,0.02,
5/31/2018,6:08:31 PM,3176.12,3424.06,4954.43,5107.43,0.01,0.02,0.03,0.01,
5/31/2018,6:08:32 PM,3275.95,3535.13,4939.34,5095.89,0.01,0.02,0.01,0.02,
5/31/2018,6:08:33 PM,3298.91,3401.48,4945.91,5094.95,0.01,0.02,0.04,0.01,
5/31/2018,6:08:34 PM,3287.05,3412.65,4944.03,5109.79,0.01,0.02,0.02,0.01,
5/31/2018,6:08:35 PM,3279.69,3452.97,4932.36,5110.00,0.01,0.02,0.02,0.01,
5/31/2018,6:08:37 PM,3317.41,3519.52,4946.23,5067.34,0.01,0.02,0.01,0.02,
5/31/2018,6:08:38 PM,3229.34,3452.88,4946.70,5093.44,0.01,0.02,0.02,0.02,
5/31/2018,6:08:39 PM,3283.62,3557.11,4943.20,5083.47,0.01,0.02,0.01,0.02,
5/31/2018,6:08:40 PM,3316.90,3497.26,4943.95,5120.30,0.01,0.03,0.01,0.02,
5/31/2018,6:08:41 PM,3268.10,3497.59,4947.00,5104.05,0.01,0.02,0.01,0.02,
5/31/2018,6:08:42 PM,3106.31,3451.57,4978.59,5102.00,0.01,0.03,0.02,0.02,
5/31/2018,6:08:43 PM,3267.78,3498.88,4957.93,5095.49,0.01,0.03,0.01,0.02,
5/31/2018,6:08:45 PM,3264.98,3453.15,4953.60,5094.22,0.01,0.02,0.02,0.02,
5/31/2018,6:08:46 PM,3223.02,3455.67,4959.78,5103.55,0.01,0.02,0.02,0.02,
5/31/2018,6:08:47 PM,3214.62,3521.72,4947.56,5089.82,0.01,0.02,0.01,0.02,
5/31/2018,6:08:48 PM,3247.30,3479.81,4958.29,5095.91,0.01,0.02,0.01,0.02,
5/31/2018,6:08:49 PM,3014.57,3461.12,4964.02,5111.49,0.02,0.02,0.02,0.02,
5/31/2018,6:08:50 PM,3291.20,3479.02,4943.90,5084.81,0.01,0.02,0.02,0.02,
5/31/2018,6:08:51 PM,3211.69,3533.93,4959.56,5092.97,0.01,0.02,0.01,0.02,
5/31/2018,6:08:52 PM,3245.18,3505.52,4964.23,5080.02,0.01,0.03,0.02,0.02,
5/31/2018,6:08:53 PM,3226.90,3443.21,4939.84,5086.84,0.01,0.02,0.02,0.02,
