

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,6:01:25 PM,3135.91,3494.35,4934.95,5117.43,0.01,0.02,0.01,0.02,
5/31/2018,6:01:26 PM,3187.95,3604.71,4945.05,5090.50,0.01,0.02,0.01,0.03,
5/31/2018,6:01:27 PM,3293.70,3373.18,4932.27,5107.64,0.01,0.02,0.07,0.01,
5/31/2018,6:01:28 PM,3253.06,3373.05,4933.89,5137.18,0.01,0.02,0.10,0.01,
5/31/2018,6:01:29 PM,3185.24,3396.18,4935.59,5133.21,0.01,0.03,0.09,0.01,
5/31/2018,6:01:30 PM,3180.07,3380.91,4921.99,5130.82,0.01,0.02,0.04,0.01,
5/31/2018,6:01:31 PM,3314.17,3544.05,4926.93,5120.62,0.01,0.02,0.01,0.02,
5/31/2018,6:01:33 PM,3276.79,3512.97,4920.88,5129.07,0.01,0.02,0.01,0.02,
5/31/2018,6:01:34 PM,3168.65,3562.82,4915.56,5106.36,0.01,0.02,0.01,0.02,
5/31/2018,6:01:35 PM,3350.15,3492.80,4922.29,5110.80,0.01,0.03,0.02,0.02,
5/31/2018,6:01:36 PM,3276.88,3497.85,4927.60,5128.49,0.01,0.02,0.01,0.02,
5/31/2018,6:01:37 PM,3230.24,3391.78,4927.39,5128.14,0.01,0.02,0.03,0.01,
5/31/2018,6:01:38 PM,3198.57,3596.07,4910.82,5145.89,0.01,0.02,0.01,0.02,
5/31/2018,6:01:39 PM,3279.64,3530.97,4923.16,5135.49,0.01,0.02,0.01,0.02,
5/31/2018,6:01:41 PM,3274.11,3531.12,4924.79,5121.47,0.01,0.02,0.01,0.02,
5/31/2018,6:01:42 PM,3262.02,3385.90,4923.24,5137.24,0.01,0.02,0.02,0.02,
5/31/2018,6:01:43 PM,3272.02,3447.38,4932.10,5114.01,0.01,0.02,0.02,0.02,
5/31/2018,6:01:44 PM,3204.01,3481.16,4911.00,5122.35,0.01,0.02,0.02,0.02,
5/31/2018,6:01:45 PM,3313.21,3564.85,4921.66,5112.90,0.01,0.02,0.01,0.02,
5/31/2018,6:01:46 PM,3215.08,3447.76,4942.38,5110.50,0.01,0.03,0.03,0.02,
5/31/2018,6:01:47 PM,3319.34,3418.65,4928.03,5121.54,0.01,0.02,0.03,0.01,
5/31/2018,6:01:48 PM,3277.62,3594.43,4921.54,5112.12,0.01,0.02,0.01,0.02,
5/31/2018,6:01:49 PM,3225.62,3515.61,4926.34,5134.38,0.01,0.03,0.01,0.02,
5/31/2018,6:01:50 PM,3182.60,3447.09,4918.32,5129.30,0.01,0.02,0.02,0.02,
5/31/2018,6:01:51 PM,3295.38,3550.72,4924.58,5122.00,0.01,0.02,0.01,0.02,
5/31/2018,6:01:52 PM,3317.62,3494.17,4919.22,5114.42,0.01,0.02,0.01,0.02,
5/31/2018,6:01:54 PM,3289.92,3491.74,4924.56,5119.69,0.01,0.02,0.02,0.02,
5/31/2018,6:01:55 PM,3278.04,3479.37,4918.61,5107.18,0.01,0.02,0.02,0.02,
5/31/2018,6:01:56 PM,3270.54,3526.63,4927.82,5137.02,0.01,0.02,0.01,0.02,
5/31/2018,6:01:57 PM,3067.26,3537.52,4929.69,5112.28,0.02,0.02,0.01,0.02,
5/31/2018,6:01:58 PM,3245.09,3536.02,4929.34,5117.48,0.01,0.02,0.01,0.02,
5/31/2018,6:01:59 PM,3318.17,3430.85,4931.34,5110.87,0.01,0.03,0.02,0.02,
5/31/2018,6:02:00 PM,3205.98,3419.97,4938.16,5120.57,0.01,0.02,0.03,0.01,
