

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,5:24:02 PM,3266.54,3577.35,4859.80,5342.88,0.01,0.02,0.01,0.02,
5/31/2018,5:24:03 PM,3283.78,3487.55,4856.63,5344.77,0.01,0.02,0.02,0.02,
5/31/2018,5:24:04 PM,3319.36,3524.05,4880.28,5335.92,0.01,0.03,0.02,0.02,
5/31/2018,5:24:05 PM,3339.16,3525.70,4878.10,5334.03,0.01,0.03,0.02,0.02,
5/31/2018,5:24:06 PM,3302.99,3479.23,4885.87,5344.10,0.01,0.02,0.02,0.02,
5/31/2018,5:24:07 PM,3310.01,3529.94,4859.79,5369.34,0.01,0.02,0.01,0.03,
5/31/2018,5:24:08 PM,3250.02,3588.72,4866.46,5355.57,0.01,0.02,0.01,0.03,
5/31/2018,5:24:09 PM,3285.69,3532.96,4875.53,5322.85,0.01,0.03,0.02,0.02,
5/31/2018,5:24:10 PM,3314.31,3479.74,4861.30,5318.77,0.01,0.02,0.02,0.02,
5/31/2018,5:24:12 PM,3128.85,3479.43,4879.59,5312.77,0.01,0.02,0.03,0.02,
5/31/2018,5:24:13 PM,3298.46,3551.25,4885.17,5337.11,0.01,0.03,0.01,0.02,
5/31/2018,5:24:14 PM,3251.93,3504.55,4862.70,5349.96,0.01,0.02,0.02,0.02,
5/31/2018,5:24:15 PM,3355.21,3524.53,4871.13,5343.34,0.01,0.03,0.01,0.02,
5/31/2018,5:24:16 PM,3270.88,3520.97,4869.30,5380.23,0.01,0.03,0.03,0.02,
5/31/2018,5:24:17 PM,3235.68,3491.53,4859.33,5355.94,0.01,0.02,0.02,0.02,
5/31/2018,5:24:18 PM,3248.64,3580.33,4869.53,5328.23,0.01,0.02,0.01,0.03,
5/31/2018,5:24:19 PM,3231.72,3425.76,4858.19,5343.70,0.01,0.02,0.03,0.02,
5/31/2018,5:24:20 PM,3292.55,3540.69,4873.25,5318.50,0.01,0.02,0.01,0.03,
5/31/2018,5:24:21 PM,3273.92,3580.06,4864.45,5355.50,0.01,0.03,0.01,0.03,
5/31/2018,5:24:22 PM,3179.12,3438.86,4871.87,5369.24,0.01,0.02,0.02,0.02,
5/31/2018,5:24:24 PM,3234.26,3457.39,4884.75,5343.27,0.01,0.02,0.02,0.02,
5/31/2018,5:24:25 PM,3226.17,3449.32,4871.09,5353.76,0.01,0.02,0.04,0.02,
5/31/2018,5:24:26 PM,3208.80,3510.45,4875.46,5349.21,0.01,0.02,0.02,0.02,
5/31/2018,5:24:27 PM,3302.49,3600.38,4864.09,5343.44,0.01,0.02,0.01,0.03,
5/31/2018,5:24:28 PM,3192.75,3560.18,4854.73,5364.63,0.01,0.02,0.01,0.03,
5/31/2018,5:24:29 PM,3319.66,3526.35,4866.01,5330.99,0.01,0.03,0.02,0.02,
5/31/2018,5:24:30 PM,3194.60,3495.10,4866.94,5328.70,0.01,0.02,0.02,0.02,
5/31/2018,5:24:31 PM,3297.25,3567.39,4874.57,5327.27,0.01,0.03,0.01,0.02,
5/31/2018,5:24:33 PM,3293.17,3528.29,4874.68,5323.44,0.01,0.03,0.01,0.03,
5/31/2018,5:24:34 PM,3297.36,3549.12,4861.41,5347.63,0.01,0.02,0.02,0.02,
5/31/2018,5:24:35 PM,3258.25,3516.71,4870.92,5336.23,0.01,0.03,0.02,0.02,
5/31/2018,5:24:36 PM,3301.81,3538.23,4877.18,5364.33,0.01,0.03,0.01,0.02,
5/31/2018,5:24:37 PM,3311.54,3539.87,4873.81,5339.51,0.01,0.02,0.01,0.02,
5/31/2018,5:24:38 PM,3277.64,3536.40,4863.21,5342.94,0.01,0.03,0.01,0.02,
5/31/2018,5:24:39 PM,3275.68,3524.66,4877.93,5359.22,0.01,0.03,0.02,0.02,
5/31/2018,5:24:40 PM,3174.19,3558.60,4878.31,5343.49,0.01,0.02,0.01,0.03,
5/31/2018,5:24:42 PM,3234.90,3510.44,4884.36,5343.55,0.01,0.03,0.02,0.02,
5/31/2018,5:24:43 PM,3279.68,3530.58,4876.41,5349.14,0.01,0.02,0.01,0.03,
5/31/2018,5:24:44 PM,3256.41,3567.49,4885.54,5332.95,0.01,0.03,0.01,0.03,
5/31/2018,5:24:45 PM,3309.51,3520.82,4881.91,5350.60,0.01,0.03,0.02,0.02,
5/31/2018,5:24:46 PM,3213.81,3484.29,4877.69,5354.65,0.01,0.02,0.02,0.02,
5/31/2018,5:24:47 PM,3298.71,3551.48,4875.19,5328.99,0.01,0.02,0.01,0.02,
5/31/2018,5:24:48 PM,3237.16,3590.64,4868.87,5332.86,0.01,0.02,0.01,0.03,
5/31/2018,5:24:49 PM,3149.43,3492.30,4879.92,5341.54,0.01,0.02,0.02,0.02,
5/31/2018,5:24:50 PM,3189.46,3575.05,4870.14,5336.86,0.01,0.02,0.01,0.03,
5/31/2018,5:24:52 PM,3234.30,3526.17,4855.27,5347.14,0.01,0.02,0.01,0.02,
5/31/2018,5:24:53 PM,3295.26,3525.64,4867.06,5331.99,0.01,0.02,0.02,0.02,
5/31/2018,5:24:54 PM,3222.88,3523.02,4874.62,5348.44,0.01,0.03,0.01,0.03,
