

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,4:09:27 PM,3344.18,3982.48,0.10,0.02,0.04,0.05,
5/31/2018,4:09:28 PM,3335.12,4043.31,0.08,0.02,0.03,0.05,
5/31/2018,4:09:29 PM,3180.16,3626.91,0.13,0.02,0.09,0.03,
5/31/2018,4:09:30 PM,3257.54,3430.87,0.09,0.02,0.11,0.02,
5/31/2018,4:09:31 PM,3221.79,3591.33,0.11,0.02,0.06,0.03,
5/31/2018,4:09:32 PM,3576.14,3468.95,0.03,0.03,0.30,0.03,
5/31/2018,4:09:33 PM,3229.22,4056.70,0.14,0.02,0.03,0.05,
5/31/2018,4:09:34 PM,3571.31,3732.09,0.04,0.02,0.16,0.03,
5/31/2018,4:09:35 PM,3300.86,3654.91,0.05,0.03,0.10,0.04,
5/31/2018,4:09:36 PM,3220.26,4037.05,0.10,0.02,0.04,0.05,
5/31/2018,4:09:37 PM,3677.76,4132.53,0.04,0.02,0.03,0.06,
5/31/2018,4:09:38 PM,3536.47,3900.45,0.04,0.02,0.05,0.05,
5/31/2018,4:09:39 PM,3242.38,3807.50,0.05,0.03,0.06,0.04,
5/31/2018,4:09:40 PM,3590.88,3773.02,0.04,0.02,0.19,0.03,
5/31/2018,4:09:41 PM,3431.54,3945.75,0.04,0.02,0.06,0.04,
5/31/2018,4:09:42 PM,3831.26,4031.83,0.02,0.02,0.03,0.05,
5/31/2018,4:09:43 PM,3558.50,3811.63,0.04,0.02,0.08,0.04,
5/31/2018,4:09:44 PM,3464.40,3742.48,0.05,0.01,0.08,0.03,
5/31/2018,4:09:45 PM,4038.80,3918.50,0.02,0.03,0.05,0.04,
5/31/2018,4:09:46 PM,3515.35,3872.87,0.04,0.02,0.06,0.05,
5/31/2018,4:09:47 PM,3702.09,3823.22,0.05,0.04,0.05,0.04,
5/31/2018,4:09:48 PM,3567.94,3617.52,0.05,0.02,0.31,0.04,
5/31/2018,4:09:49 PM,3601.02,3963.87,0.03,0.02,0.04,0.04,
5/31/2018,4:09:50 PM,3781.25,3914.80,0.02,0.03,0.04,0.04,
5/31/2018,4:09:51 PM,3780.78,3854.40,0.04,0.03,0.12,0.04,
5/31/2018,4:09:52 PM,4164.52,3858.10,0.02,0.04,0.05,0.05,
5/31/2018,4:09:53 PM,3838.05,3934.78,0.02,0.03,0.04,0.04,
5/31/2018,4:09:54 PM,3372.95,3700.57,0.04,0.04,0.20,0.04,
5/31/2018,4:09:56 PM,4124.79,3792.52,0.02,0.03,0.06,0.05,
