1.1659740808,5.80E-046,1.90E-041,2.09E-041,1.24E-049,4.24E-030,4.38E-037,4.24E-030
1.1695604514,5.78E-046,1.87E-041,2.06E-041,1.24E-049,3.97E-030,4.16E-037,3.97E-030
1.1731578532,5.76E-046,1.85E-041,2.04E-041,1.24E-049,3.72E-030,3.95E-037,3.72E-030
1.1767663201,5.75E-046,1.83E-041,2.01E-041,1.24E-049,3.49E-030,3.76E-037,3.49E-030
1.1803858861,5.73E-046,1.80E-041,1.99E-041,1.24E-049,3.27E-030,3.57E-037,3.27E-030
1.1840165854,5.71E-046,1.78E-041,1.96E-041,1.24E-049,3.07E-030,3.40E-037,3.07E-030
1.1876584523,5.69E-046,1.76E-041,1.94E-041,1.24E-049,2.89E-030,3.24E-037,2.89E-030
1.1913115209,5.67E-046,1.74E-041,1.92E-041,1.24E-049,2.72E-030,3.09E-037,2.72E-030
1.1949758259,5.65E-046,1.72E-041,1.89E-041,1.24E-049,2.57E-030,2.95E-037,2.57E-030
1.1986514018,5.64E-046,1.69E-041,1.87E-041,1.24E-049,2.42E-030,2.81E-037,2.42E-030
1.2023382833,5.62E-046,1.67E-041,1.85E-041,1.24E-049,2.28E-030,2.69E-037,2.28E-030
1.206036505,5.60E-046,1.65E-041,1.82E-041,1.24E-049,2.16E-030,2.57E-037,2.16E-030
1.209746102,5.58E-046,1.63E-041,1.80E-041,1.24E-049,2.04E-030,2.45E-037,2.04E-030
1.2134671091,5.56E-046,1.61E-041,1.78E-041,1.24E-049,1.93E-030,2.35E-037,1.93E-030
1.2171995616,5.55E-046,1.59E-041,1.76E-041,1.24E-049,1.83E-030,2.25E-037,1.83E-030
1.2209434945,5.53E-046,1.57E-041,1.74E-041,1.24E-049,1.73E-030,2.15E-037,1.73E-030
1.2246989433,5.51E-046,1.55E-041,1.71E-041,1.24E-049,1.64E-030,2.06E-037,1.64E-030
1.2284659432,5.49E-046,1.53E-041,1.69E-041,1.24E-049,1.56E-030,1.98E-037,1.56E-030
1.23224453,5.48E-046,1.51E-041,1.67E-041,1.24E-049,1.48E-030,1.90E-037,1.48E-030
1.2360347391,5.46E-046,1.50E-041,1.65E-041,1.24E-049,1.41E-030,1.82E-037,1.41E-030
1.2398366064,5.44E-046,1.48E-041,1.63E-041,1.24E-049,1.34E-030,1.75E-037,1.34E-030
1.2436501676,5.42E-046,1.46E-041,1.61E-041,1.24E-049,1.27E-030,1.68E-037,1.27E-030
1.2474754589,5.41E-046,1.44E-041,1.59E-041,1.24E-049,1.21E-030,1.61E-037,1.21E-030
1.2513125162,5.39E-046,1.42E-041,1.57E-041,1.24E-049,1.16E-030,1.55E-037,1.16E-030
1.2551613757,5.37E-046,1.41E-041,1.55E-041,1.24E-049,1.10E-030,1.49E-037,1.10E-030
1.2590220738,5.35E-046,1.39E-041,1.54E-041,1.24E-049,1.05E-030,1.44E-037,1.05E-030
1.2628946469,5.34E-046,1.37E-041,1.52E-041,1.24E-049,1.00E-030,1.39E-037,1.00E-030
1.2667791314,5.32E-046,1.35E-041,1.50E-041,1.24E-049,9.58E-031,1.33E-037,9.58E-031
1.2706755641,5.30E-046,1.34E-041,1.48E-041,1.24E-049,9.16E-031,1.29E-037,9.16E-031
1.2745839816,5.29E-046,1.32E-041,1.46E-041,1.24E-049,8.76E-031,1.24E-037,8.76E-031
1.2785044208,5.27E-046,1.30E-041,1.44E-041,1.24E-049,8.38E-031,1.20E-037,8.38E-031
1.2824369188,5.25E-046,1.29E-041,1.43E-041,1.24E-049,8.03E-031,1.16E-037,8.03E-031
1.2863815126,5.24E-046,1.27E-041,1.41E-041,1.24E-049,7.69E-031,1.12E-037,7.69E-031
1.2903382394,5.22E-046,1.26E-041,1.39E-041,1.24E-049,7.37E-031,1.08E-037,7.37E-031
1.2943071365,5.20E-046,1.24E-041,1.37E-041,1.24E-049,7.07E-031,1.04E-037,7.07E-031
1.2982882414,5.19E-046,1.23E-041,1.36E-041,1.24E-049,6.78E-031,1.01E-037,6.78E-031
1.3022815916,5.17E-046,1.21E-041,1.34E-041,1.24E-049,6.51E-031,9.75E-038,6.51E-031
1.3062872248,5.15E-046,1.20E-041,1.32E-041,1.24E-049,6.25E-031,9.43E-038,6.25E-031
1.3103051787,5.14E-046,1.18E-041,1.31E-041,1.24E-049,6.01E-031,9.13E-038,6.01E-031
1.3143354913,5.12E-046,1.17E-041,1.29E-041,1.24E-049,5.78E-031,8.85E-038,5.78E-031
1.3183782006,5.10E-046,1.15E-041,1.28E-041,1.24E-049,5.56E-031,8.57E-038,5.56E-031
1.3224333446,5.09E-046,1.14E-041,1.26E-041,1.24E-049,5.35E-031,8.31E-038,5.35E-031
1.3265009617,5.07E-046,1.12E-041,1.25E-041,1.24E-049,5.16E-031,8.06E-038,5.16E-031
1.3305810903,5.06E-046,1.11E-041,1.23E-041,1.24E-049,4.97E-031,7.82E-038,4.97E-031
1.3346737687,5.04E-046,1.10E-041,1.22E-041,1.24E-049,4.79E-031,7.59E-038,4.79E-031
1.3387790356,5.02E-046,1.08E-041,1.20E-041,1.24E-049,4.62E-031,7.37E-038,4.62E-031
1.3428969297,5.01E-046,1.07E-041,1.19E-041,1.24E-049,4.46E-031,7.15E-038,4.46E-031
1.3470274899,4.99E-046,1.06E-041,1.17E-041,1.24E-049,4.31E-031,6.95E-038,4.31E-031
1.3511707551,4.98E-046,1.04E-041,1.16E-041,1.24E-049,4.17E-031,6.76E-038,4.17E-031
1.3553267644,4.96E-046,1.03E-041,1.14E-041,1.24E-049,4.03E-031,6.57E-038,4.03E-031
1.359495557,4.94E-046,1.02E-041,1.13E-041,1.24E-049,3.90E-031,6.39E-038,3.90E-031
1.3636771722,4.93E-046,1.00E-041,1.12E-041,1.24E-049,3.78E-031,6.22E-038,3.78E-031
1.3678716495,4.91E-046,9.92E-042,1.10E-041,1.24E-049,3.66E-031,6.06E-038,3.66E-031
1.3720790283,4.90E-046,9.80E-042,1.09E-041,1.24E-049,3.55E-031,5.90E-038,3.55E-031
1.3762993485,4.88E-046,9.68E-042,1.08E-041,1.24E-049,3.44E-031,5.75E-038,3.44E-031
1.3805326498,4.87E-046,9.56E-042,1.06E-041,1.24E-049,3.34E-031,5.61E-038,3.34E-031
1.3847789721,4.85E-046,9.44E-042,1.05E-041,1.24E-049,3.24E-031,5.47E-038,3.24E-031
1.3890383555,4.83E-046,9.33E-042,1.04E-041,1.24E-049,3.14E-031,5.33E-038,3.14E-031
1.3933108402,4.82E-046,9.21E-042,1.02E-041,1.24E-049,3.05E-031,5.20E-038,3.05E-031
1.3975964664,4.80E-046,9.10E-042,1.01E-041,1.24E-049,2.95E-031,5.08E-038,2.95E-031
1.4018952746,4.79E-046,8.99E-042,9.99E-042,1.24E-049,2.86E-031,4.96E-038,2.86E-031
1.4062073053,4.77E-046,8.88E-042,9.87E-042,1.24E-049,2.78E-031,4.85E-038,2.78E-031
