#Time (hr)                #Defocus (micro-diopters)  
0                         3.093822813252951
0.016666666666666666      110.77092759356013
0.03333333333333333       196.28596593465494
0.05                      268.77385871394875
0.06666666666666667       330.8730903461611
0.08333333333333333       384.9244831153643
0.1                       433.83230037644887
0.11666666666666667       476.99578647446515
0.13333333333333333       514.9325071026973
0.15                      548.3930777929342
0.16666666666666666       578.0844868769645
0.18333333333333332       604.6034415267001
0.2                       628.4366087845518
0.21666666666666667       649.9781416501066
0.23333333333333334       669.5485225215249
0.25                      687.4104421191768
0.26666666666666666       703.7812123419268
0.2833333333333333        718.8422447470072
0.3                       732.7462699249905
0.31666666666666665       745.6228715494735
0.3333333333333333        757.5827708467199
0.35                      768.7211798237098
0.36666666666666664       779.1204536727035
0.38333333333333336       788.8522097488096
0.4                       797.9790358748216
0.4166666666666667        806.5558790793499
0.43333333333333335       814.6311831598614
0.45                      822.2478270605908
0.4666666666666667        829.4439039409912
0.48333333333333334       836.2533718849597
0.5                       842.7066004538615
0.5166666666666667        848.8308321603703
0.5333333333333333        854.6505740515263
0.55                      860.1879315230201
0.5666666666666667        865.462894167921
0.5833333333333334        870.493581552838
0.6                       875.29645541458
0.6166666666666667        879.8865035317343
0.6333333333333333        884.2773996511462
0.65                      888.4816430573248
0.6666666666666666        892.5106807777476
0.6833333333333333        896.3750149217224
0.7                       900.0842972404947
0.7166666666666667        903.6474126659408
0.7333333333333333        907.0725533136842
0.75                      910.367284200183
0.7666666666666667        913.5386017531667
0.7833333333333333        916.5929860099812
0.8                       919.5364472989817
0.8166666666666667        922.3745680660032
0.8333333333333334        925.1125404194266
0.85                      927.7551999007939
0.8666666666666667        930.3070559025211
0.8833333333333333        932.7723191228183
0.9                       935.15492636779
0.9166666666666666        937.4585629967805
0.9333333333333333        939.6866832692208
0.95                      941.8425287964973
0.9666666666666667        943.9291453064711
0.9833333333333333        945.9493978922351
1                         947.9059848878549

